"Libellé";"idBank";"Période";"2001-T4";"2002-T1";"2002-T2";"2002-T3";"2002-T4";"2003-T1";"2003-T2";"2003-T3";"2003-T4";"2004-T1";"2004-T2";"2004-T3";"2004-T4";"2005-T1";"2005-T2";"2005-T3";"2005-T4";"2006-T1";"2006-T2";"2006-T3";"2006-T4";"2007-T1";"2007-T2";"2007-T3";"2007-T4";"2008-T1";"2008-T2";"2008-T3";"2008-T4";"2009-T1";"2009-T2";"2009-T3";"2009-T4";"2010-T1";"2010-T2";"2010-T3";"2010-T4";"2011-T1";"2011-T2";"2011-T3";"2011-T4";"2012-T1";"2012-T2";"2012-T3";"2012-T4";"2013-T1";"2013-T2";"2013-T3";"2013-T4";"2014-T1";"2014-T2";"2014-T3";"2014-T4";"2015-T1";"2015-T2";"2015-T3";"2015-T4";"2016-T1";"2016-T2";"2016-T3";"2016-T4";"2017-T1";"2017-T2";"2017-T3";"2017-T4";"2018-T1";"2018-T2";"2018-T3";"2018-T4";"2019-T1";"2019-T2"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Eure";"010599729";"";"131209";"131637";"131412";"130956";"130710";"130125";"130186";"130129";"130054";"129178";"128048";"128094";"128874";"128567";"128703";"128762";"128592";"127025";"127979";"127797";"128059";"129684";"129146";"129585";"129762";"129066";"129304";"128558";"126536";"123612";"123072";"123033";"122604";"122054";"121735";"121058";"120628";"120126";"120141";"119409";"119039";"117891";"117640";"117205";"117009";"116522";"115834";"116069";"115975";"115669";"116279";"115670";"115582";"115708";"114686";"114969";"115034";"114763";"114736";"114347";"113741";"113806";"114156";"114285";"114884";"114440";"114996";"114961";"115369";"115965";"116280"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Eure-et-Loir";"010599730";"";"99372";"98562";"98639";"98547";"97759";"97692";"97337";"97280";"96719";"95925";"95471";"94998";"94925";"95764";"95300";"94721";"94477";"94822";"94631";"94564";"94179";"94455";"94577";"94887";"94780";"94890";"94441";"93593";"92462";"91199";"90807";"91010";"91220";"91396";"91183";"91262";"91700";"91762";"91539";"91024";"91053";"90804";"90444";"90301";"90015";"89702";"89223";"89259";"89353";"89535";"89367";"89295";"88846";"89200";"89445";"89278";"89748";"89534";"89603";"89639";"89902";"89881";"89934";"89957";"90114";"89991";"89949";"89900";"89642";"89577";"89482"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Finistère";"010599731";"";"181856";"182883";"183362";"183606";"184812";"184710";"184191";"185547";"186257";"187093";"187967";"186168";"187240";"187666";"187944";"189151";"188795";"188682";"189572";"190460";"190957";"192548";"193094";"193313";"193854";"195745";"194056";"193364";"192411";"190812";"189571";"188593";"189320";"189593";"190814";"190285";"190507";"190754";"191559";"191571";"191449";"191730";"190840";"190427";"190252";"189468";"187562";"188522";"187944";"187768";"188359";"187416";"187736";"187117";"187776";"188533";"188756";"189706";"190092";"191235";"191102";"192374";"193785";"194453";"195503";"195783";"195712";"195759";"195822";"197704";"198383"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Corse-du-Sud";"010599732";"";"25342";"26227";"25798";"26298";"26067";"26208";"26442";"27107";"27350";"27298";"27562";"27381";"27860";"27950";"28005";"28262";"28739";"28918";"29175";"29375";"29828";"30295";"30442";"30609";"30768";"31341";"31461";"31632";"31985";"31941";"31989";"32041";"32161";"32708";"32832";"32869";"32936";"33210";"33487";"33395";"33428";"33574";"33696";"33642";"33740";"33739";"33787";"33929";"34011";"34209";"34273";"34014";"33951";"33926";"33971";"34294";"34365";"34602";"34806";"35054";"34744";"35053";"35472";"35653";"35896";"36736";"37277";"37137";"36812";"37690";"37927"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Haute-Corse";"010599733";"";"25299";"25345";"25638";"26082";"25929";"25987";"26609";"26913";"26962";"27244";"27068";"27285";"27574";"27724";"27701";"28040";"28483";"28444";"28588";"28904";"29305";"29635";"29676";"29826";"30059";"30352";"30219";"30175";"30414";"30666";"30860";"30811";"30845";"31315";"31602";"31440";"31536";"31439";"31623";"31804";"31771";"32061";"31693";"31847";"31872";"31738";"31594";"31613";"31707";"31780";"31794";"31840";"31747";"31790";"31931";"31984";"31960";"32000";"32256";"32332";"32406";"32903";"33195";"32825";"32785";"33334";"33786";"33815";"33598";"34310";"34322"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Gard";"010599734";"";"121670";"122472";"122691";"123249";"124455";"125414";"126031";"126532";"126719";"127111";"127153";"126988";"127753";"128078";"128446";"128837";"128551";"128491";"129016";"129859";"130570";"131385";"131799";"131512";"132271";"132038";"131119";"130969";"130348";"129468";"128886";"129141";"129966";"130515";"130500";"130922";"130414";"130327";"130534";"130177";"129192";"129039";"128421";"127730";"126912";"126401";"125736";"125424";"125881";"125526";"125417";"125405";"124820";"125083";"124904";"125056";"125403";"125557";"125368";"125748";"125901";"125588";"126542";"126174";"126449";"126823";"126484";"126786";"126831";"127566";"127812"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Haute-Garonne";"010599735";"";"319402";"321864";"322082";"323302";"324623";"325880";"326754";"328515";"329978";"331976";"334099";"335859";"337922";"338897";"340304";"342837";"345878";"348799";"352469";"355026";"357501";"361013";"362370";"365068";"366042";"370695";"371557";"369129";"369159";"367034";"366618";"367261";"368244";"368546";"370068";"371716";"371788";"372942";"376235";"377425";"378789";"380592";"381439";"383439";"383328";"384347";"385455";"386931";"387894";"388878";"389096";"388734";"389908";"390100";"390910";"393166";"395247";"396883";"400996";"404581";"407868";"410127";"413238";"416200";"419168";"422531";"423972";"427288";"430294";"433276";"435296"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Gers";"010599736";"";"30800";"30896";"30988";"31028";"31391";"31537";"31644";"31821";"31817";"31827";"31817";"31749";"31967";"32017";"31959";"31965";"32350";"32342";"32509";"32710";"32771";"32906";"33054";"33058";"32735";"32808";"32577";"32450";"31948";"31546";"31418";"31425";"31426";"31481";"31260";"31497";"31549";"31515";"31590";"32133";"31509";"31662";"31642";"31539";"31332";"31566";"31393";"31719";"31745";"31621";"31401";"30982";"31076";"30894";"31039";"31120";"30973";"31037";"31184";"31392";"31519";"31405";"31795";"31512";"32023";"31894";"32119";"32136";"32213";"32645";"32769"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Gironde";"010599737";"";"337680";"338219";"337683";"339647";"341520";"341056";"341847";"340404";"340620";"340237";"340901";"339866";"341503";"343061";"342843";"344532";"347907";"348285";"351468";"354720";"355876";"360141";"362448";"364868";"365195";"367374";"367741";"365579";"365307";"363673";"362876";"363209";"364810";"364704";"365043";"367594";"367285";"367672";"368940";"371398";"370760";"373146";"374143";"373582";"373370";"373601";"373262";"375106";"376465";"376791";"377104";"375747";"377505";"377084";"378747";"380477";"382578";"384294";"387640";"390172";"391710";"395244";"398337";"401528";"405684";"408419";"410350";"412886";"416404";"420352";"422674"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Hérault";"010599738";"";"193069";"194642";"195042";"196539";"198381";"199672";"201764";"202695";"203459";"203812";"204300";"203881";"205270";"207352";"206155";"209369";"209186";"209879";"211751";"213338";"215646";"216666";"217230";"220314";"222209";"224520";"223254";"220248";"221132";"219147";"220791";"221937";"223284";"224519";"225306";"224953";"223326";"224986";"226094";"225906";"225819";"226166";"226163";"225268";"224847";"224768";"223507";"223909";"223362";"223454";"224259";"224363";"225784";"226447";"227833";"229365";"230794";"231698";"231732";"232821";"233908";"235878";"237567";"238549";"240621";"242189";"243360";"243946";"245754";"247893";"249274"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Ille-et-Vilaine";"010599739";"";"246218";"246718";"247408";"248269";"249207";"249504";"249012";"248113";"249806";"251358";"254509";"254700";"256002";"255486";"255585";"257605";"257133";"257661";"258731";"260859";"262035";"264285";"266033";"267153";"268667";"271289";"270032";"269111";"268609";"264981";"263709";"262669";"263211";"264158";"265493";"266281";"266021";"268316";"268508";"268142";"269035";"268792";"267381";"266883";"266891";"266384";"265610";"267405";"268124";"268159";"268149";"268550";"269250";"270446";"270552";"271936";"273422";"275056";"276174";"277817";"279219";"281633";"285166";"286486";"289221";"289134";"290261";"291776";"293502";"296137";"296516"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Indre";"010599740";"";"52551";"52557";"52426";"52411";"52339";"52043";"52178";"51857";"52103";"51621";"51759";"51522";"51669";"52084";"51619";"51523";"51502";"51495";"51521";"51202";"50989";"51540";"51684";"51700";"51893";"52356";"52285";"52482";"52191";"51895";"51501";"51659";"51328";"50981";"50854";"50891";"50221";"50001";"49917";"49359";"49234";"49140";"48796";"48621";"48447";"47828";"47618";"47738";"47497";"47412";"47215";"47133";"47006";"46622";"46644";"46214";"46210";"46107";"46187";"46240";"46123";"46216";"46571";"46715";"46817";"46423";"46393";"46213";"46363";"46540";"46529"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Indre-et-Loire";"010599741";"";"140577";"140790";"141299";"141300";"141515";"141217";"141182";"141704";"141309";"140949";"140656";"140741";"141693";"141824";"142079";"142567";"142529";"144658";"145269";"145571";"146413";"147118";"146808";"147591";"147047";"148390";"148795";"148009";"147581";"146310";"145557";"146230";"145908";"146268";"146380";"146859";"146101";"145916";"145852";"145630";"145100";"145404";"145619";"144654";"144462";"144019";"143315";"143905";"143932";"143508";"143254";"142818";"143059";"142858";"142944";"143171";"143146";"143999";"144372";"144456";"144314";"144874";"145500";"145778";"146615";"146518";"146812";"146928";"147163";"148229";"148464"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Isère";"010599742";"";"304116";"304872";"304796";"304273";"305262";"304680";"303790";"304142";"306163";"307858";"307468";"307366";"307135";"307310";"308420";"309862";"310401";"311180";"313775";"314365";"315116";"317568";"317515";"319322";"319687";"319981";"317625";"317469";"314199";"312363";"308503";"308063";"308830";"309092";"309036";"310179";"310341";"311324";"311848";"310439";"309938";"309568";"308293";"308682";"307458";"307838";"307256";"308118";"308259";"307911";"307211";"306923";"307973";"306797";"306767";"307179";"307116";"306946";"307640";"309307";"309524";"309902";"310464";"311148";"312998";"313957";"315126";"316312";"317388";"319614";"319585"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Jura";"010599743";"";"61633";"62183";"62015";"61895";"61198";"61173";"61069";"60787";"60402";"60306";"60214";"60209";"59966";"59373";"59206";"58984";"58957";"58991";"58817";"58972";"58954";"59505";"59170";"58925";"58713";"58876";"58377";"57895";"56975";"56123";"55760";"55387";"55391";"55332";"55504";"55900";"55909";"56272";"56190";"55875";"55877";"55752";"55911";"55376";"55067";"54692";"54655";"54732";"54790";"54834";"54864";"54874";"54697";"54474";"54648";"54523";"54526";"54692";"54828";"55317";"55169";"55377";"55533";"55458";"56075";"55873";"55860";"55792";"55877";"56077";"55838"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Landes";"010599744";"";"73048";"73083";"73448";"73487";"74341";"74320";"74539";"74848";"74695";"74720";"74757";"74730";"74846";"74697";"74370";"74305";"75874";"75062";"76035";"76778";"76934";"78027";"78159";"78899";"79285";"79935";"79542";"79574";"79172";"78286";"78365";"77828";"78542";"78727";"78621";"77825";"78050";"78312";"79105";"78920";"78059";"78410";"77386";"77159";"77077";"77160";"76491";"76663";"76214";"75835";"76638";"76930";"76521";"76180";"76444";"76432";"76879";"77129";"76835";"77135";"77433";"77339";"77794";"77835";"78143";"79511";"79839";"79893";"79830";"80807";"81465"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Loir-et-Cher";"010599745";"";"78715";"78929";"78245";"78483";"77353";"76145";"76103";"75527";"74951";"74373";"74292";"74731";"75102";"75132";"75276";"75556";"75505";"76332";"76729";"76699";"76323";"76748";"76487";"77330";"76768";"78091";"78529";"78867";"79177";"78082";"78286";"78113";"78903";"78380";"78890";"79236";"78816";"79102";"78712";"78420";"78244";"78087";"77761";"77121";"76720";"76053";"75940";"76426";"76493";"76574";"76454";"75907";"76138";"75999";"76343";"76652";"76460";"76620";"76580";"76672";"76887";"76914";"77089";"77026";"77177";"76956";"76804";"76719";"76687";"76826";"76882"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Loire";"010599746";"";"181387";"181454";"180847";"180089";"179068";"177844";"176891";"176112";"176846";"176518";"175528";"174660";"174797";"175182";"175295";"176387";"176497";"175801";"176721";"177206";"178728";"179403";"179493";"180117";"179352";"178226";"177765";"177439";"175525";"172758";"170915";"170006";"169954";"169307";"169678";"170166";"170115";"170646";"169957";"169147";"169231";"169636";"168987";"168387";"167507";"167228";"166484";"166579";"166179";"166436";"165747";"165178";"164746";"163751";"163718";"163383";"164080";"163786";"164042";"164502";"164197";"164807";"165936";"166469";"167472";"167207";"167157";"167362";"167979";"168580";"168313"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Haute-Loire";"010599747";"";"43120";"43398";"43001";"43127";"42975";"42942";"43211";"43002";"43002";"42973";"42690";"42576";"42928";"42819";"42752";"43111";"42849";"42970";"42893";"42981";"43068";"42973";"43190";"43368";"43253";"43232";"42881";"42622";"42136";"41836";"41917";"41672";"41567";"41740";"41389";"41513";"41894";"41719";"41590";"41554";"41587";"41122";"41317";"41175";"41047";"41021";"40692";"40870";"40790";"41150";"41087";"40944";"40992";"40982";"41093";"41140";"40948";"40901";"41385";"41277";"41231";"40962";"41365";"41496";"41648";"41502";"41548";"41476";"41642";"41770";"41478"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Loire-Atlantique";"010599748";"";"325290";"327011";"327578";"329291";"329075";"330137";"329703";"328990";"329944";"330016";"331360";"332377";"335244";"335726";"336829";"339369";"341493";"343577";"344744";"347100";"348732";"353288";"354655";"357992";"360437";"365319";"365447";"364347";"362312";"358653";"357618";"357473";"356668";"357277";"360514";"361372";"361432";"365120";"365350";"367115";"367287";"369007";"368964";"368888";"369330";"369199";"367584";"369263";"371150";"370113";"372351";"372052";"373472";"374558";"376421";"377889";"380121";"383755";"386224";"388886";"390371";"394302";"398799";"402961";"406785";"409233";"410826";"414769";"417095";"420350";"423248"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Loiret";"010599749";"";"183374";"181944";"182105";"182418";"183538";"182225";"182149";"182279";"182169";"180990";"181221";"181490";"182029";"182682";"182338";"181319";"181018";"183804";"183939";"183884";"182882";"184216";"182927";"185239";"184328";"185321";"183885";"182236";"180447";"178223";"177008";"176034";"175943";"174833";"175010";"175287";"175390";"175026";"174371";"173560";"174041";"172619";"172469";"172382";"172085";"172172";"171957";"172628";"172163";"171306";"171883";"171051";"170548";"170784";"171258";"170980";"171361";"171842";"171493";"171492";"173510";"173668";"175138";"175662";"177156";"176259";"176023";"175588";"175368";"175675";"176313"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Lot";"010599750";"";"31577";"31740";"31676";"31758";"31656";"31673";"31887";"31877";"31962";"32213";"32317";"32297";"32428";"32475";"32608";"32256";"32755";"32137";"32723";"32859";"32857";"32837";"32980";"32781";"32881";"32886";"32397";"32136";"32057";"31756";"31463";"31480";"31467";"32003";"32160";"32106";"31812";"31886";"31978";"32072";"31785";"31693";"31699";"31575";"31601";"31683";"31683";"31892";"31905";"32119";"32210";"32133";"32362";"32346";"32441";"32606";"32421";"32644";"32813";"33182";"33227";"33313";"33501";"33457";"33522";"33739";"33520";"33445";"33199";"33532";"33626"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Lot-et-Garonne";"010599751";"";"65389";"65583";"65786";"66194";"66311";"65538";"65916";"65412";"65652";"65934";"65510";"65735";"65866";"66121";"65874";"66131";"66320";"66643";"66880";"67042";"67221";"67381";"67729";"67974";"67479";"67392";"67078";"66582";"66016";"65362";"65046";"64619";"64857";"64573";"64240";"64540";"64474";"64437";"64555";"64490";"64588";"64543";"64438";"64175";"64121";"63964";"63864";"63935";"64114";"64328";"64288";"64284";"63958";"63820";"63810";"63465";"63661";"63664";"63988";"64286";"64570";"64790";"65096";"65357";"65620";"66084";"66379";"66379";"66668";"67045";"67188"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P"
"Emploi salarié en fin de trimestre - Secteurs principalement marchands non agricoles (SMNA) - Lozère";"010599752";"";"11934";"11827";"11827";"11998";"11979";"12133";"12175";"12183";"12251";"12376";"12416";"12295";"12393";"12305";"12266";"12468";"12413";"12262";"12505";"12499";"12565";"12648";"12575";"12527";"12510";"12418";"12345";"12252";"12173";"12340";"12363";"12466";"12581";"12574";"12602";"12667";"12543";"12489";"12527";"12558";"12586";"12596";"12576";"12656";"12562";"12638";"12515";"12573";"12627";"12714";"12648";"12638";"12513";"12409";"12517";"12517";"12409";"12461";"12594";"12701";"12679";"12935";"13111";"13098";"13118";"13246";"13251";"13193";"13252";"13303";"13358"
